grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.71_-74.0,40.71,-74.0,5,3,1,0,0,0,1
40.71_-74.0,40.71,-74.0,5,4,2,0,0,0,1
40.71_-74.0,40.71,-74.0,5,5,1,0,1,0,1
40.71_-74.0,40.71,-74.0,6,0,1,0,0,0,1
40.71_-74.0,40.71,-74.0,6,1,2,0,0,0,1
40.71_-74.0,40.71,-74.0,6,2,5,0,0,0,1
40.71_-74.0,40.71,-74.0,6,3,2,0,0,0,1
40.71_-74.0,40.71,-74.0,6,5,1,0,1,0,1
40.71_-74.0,40.71,-74.0,7,0,6,0,0,1,1
40.71_-74.0,40.71,-74.0,7,1,13,0,0,1,1
40.71_-74.0,40.71,-74.0,7,2,12,0,0,1,1
40.71_-74.0,40.71,-74.0,7,3,20,1,0,1,1
40.71_-74.0,40.71,-74.0,7,4,9,0,0,1,1
40.71_-74.0,40.71,-74.0,7,5,2,0,1,1,1
40.71_-74.0,40.71,-74.0,8,0,13,0,0,1,1
40.71_-74.0,40.71,-74.0,8,1,39,1,0,1,1
40.71_-74.0,40.71,-74.0,8,2,39,1,0,1,1
40.71_-74.0,40.71,-74.0,8,3,37,1,0,1,1
40.71_-74.0,40.71,-74.0,8,4,19,1,0,1,1
40.71_-74.0,40.71,-74.0,8,5,2,0,1,1,1
40.71_-74.0,40.71,-74.0,8,6,3,0,1,1,1
40.71_-74.0,40.71,-74.0,9,0,28,1,0,1,1
40.71_-74.0,40.71,-74.0,9,1,36,1,0,1,1
40.71_-74.0,40.71,-74.0,9,2,37,1,0,1,1
40.71_-74.0,40.71,-74.0,9,3,31,1,0,1,1
40.71_-74.0,40.71,-74.0,9,4,28,1,0,1,1
40.71_-74.0,40.71,-74.0,9,5,2,0,1,1,1
40.71_-74.0,40.71,-74.0,9,6,2,0,1,1,1
40.71_-74.0,40.71,-74.0,10,0,20,1,0,0,1
40.71_-74.0,40.71,-74.0,10,1,34,1,0,0,1
40.71_-74.0,40.71,-74.0,10,2,31,1,0,0,1
