"created_date","complaint_type","descriptor","borough","latitude","longitude","street_name"
"2025-10-10T23:59:40.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.73986670048486","-74.00281832435869","WEST   14 STREET"
"2025-10-10T23:59:34.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.82494880432053","-73.95154305067291","BROADWAY"
"2025-10-10T23:59:10.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.768518423180886","-73.98716226242541","WEST   57 STREET"
"2025-10-10T23:59:06.000","Illegal Parking","Blocked Bike Lane","MANHATTAN","40.835357054993054","-73.94602805422261","WEST  158 STREET"
"2025-10-10T23:58:19.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.79179680318756","-73.94870332030196","PARK AVENUE"
"2025-10-10T23:58:04.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.82526917214624","-73.94975787584788","WEST  144 STREET"
"2025-10-10T23:57:59.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.864671199859906","-73.9230682719138","SHERMAN AVENUE"
"2025-10-10T23:57:29.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.78941147753927","-73.9483584737391","LEXINGTON AVENUE"
"2025-10-10T23:57:10.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.8258461508316","-73.95112687077149","WEST  144 STREET"
"2025-10-10T23:56:50.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.72657880882532","-73.98853051640887","EAST    5 STREET"
"2025-10-10T23:56:06.000","Rodent","Rat Sighting","MANHATTAN","40.82328778112717","-73.93898861784321","WEST  147 STREET"
"2025-10-10T23:56:05.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.765340537785214","-73.99337205807518","WEST   50 STREET"
"2025-10-10T23:56:00.000","Street Light Condition","Street Light Lamp Dim","MANHATTAN","40.70241103020369","-74.01294763101787","STATE STREET"
"2025-10-10T23:55:17.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.752659966821135","-73.99682020408882","9 AVENUE"
"2025-10-10T23:55:00.000","Drinking","In Public","MANHATTAN","40.801247671207335","-73.96551683210984","WEST  107 STREET"
"2025-10-10T23:53:52.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.72632395497259","-73.97412430868334","AVENUE D"
"2025-10-10T23:53:36.000","Rodent","Rat Sighting","MANHATTAN","40.72143912841399","-73.97819198429372","EAST    4 STREET"
"2025-10-10T23:52:58.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.84243950798371","-73.93734828861889","WEST  171 STREET"
"2025-10-10T23:51:57.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.7290853380792","-74.00100663928178","BLEECKER STREET"
"2025-10-10T23:49:39.000","ELECTRIC","POWER OUTAGE","MANHATTAN","40.78873922619366","-73.94882484764729","LEXINGTON AVENUE"
"2025-10-10T23:48:44.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.72279663460636","-73.9895990422749","ELDRIDGE STREET"
"2025-10-10T23:48:13.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.824410994356455","-73.95191198823794","BROADWAY"
"2025-10-10T23:48:06.000","Noise - Residential","Loud Talking","MANHATTAN","40.80163650647794","-73.96258010811721","WEST  109 STREET"
"2025-10-10T23:47:25.000","Lost Property","Bag/Wallet","MANHATTAN","40.721549838565565","-73.98375850300232","AVENUE B"
"2025-10-10T23:47:11.000","Noise - Residential","Loud Talking","MANHATTAN","40.78708547854972","-73.97962217218365","WEST   83 STREET"
"2025-10-10T23:47:00.000","Noise","Noise: Construction Before/After Hours (NM1)","MANHATTAN","40.76850194990441","-73.9871189436622","WEST   57 STREET"
"2025-10-10T23:46:50.000","Encampment","N/A","MANHATTAN","40.71371427501245","-73.99017400338403",
"2025-10-10T23:46:22.000","HEAT/HOT WATER","ENTIRE BUILDING","MANHATTAN","40.76153624037353","-73.99203681657183","WEST   46 STREET"
"2025-10-10T23:46:22.000","Homeless Person Assistance","Chronic","MANHATTAN","40.75450745921105","-73.97595054706579","PARK AVENUE"
"2025-10-10T23:45:49.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.768518423180886","-73.98716226242541","WEST   57 STREET"
"2025-10-10T23:44:35.000","Illegal Parking","Blocked Hydrant","MANHATTAN","40.741749591936305","-74.00312514451974","WEST   16 STREET"
"2025-10-10T23:44:17.000","Food Establishment","Rodents/Insects/Garbage","MANHATTAN","40.78665655078374","-73.97575115492488","AMSTERDAM AVENUE"
"2025-10-10T23:44:09.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.84755220737575","-73.93131456588488","AMSTERDAM AVENUE"
"2025-10-10T23:44:06.000","Lost Property","Bag/Wallet","MANHATTAN","40.78361692434477","-73.9705705038659","CENTRAL PARK WEST"
"2025-10-10T23:42:06.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.81368468333603","-73.94583609817987","WEST  132 STREET"
"2025-10-10T23:40:44.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.73555457176482","-74.00601516346313","HUDSON STREET"
"2025-10-10T23:39:16.000","Illegal Parking","Posted Parking Sign Violation","MANHATTAN","40.72604661287483","-73.99190756646406","BOWERY"
"2025-10-10T23:39:09.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.81368468333603","-73.94583609817987","WEST  132 STREET"
"2025-10-10T23:38:56.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72892339991252","-74.00067469924103","BLEECKER STREET"
"2025-10-10T23:38:43.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.826948282634014","-73.93721834139572","MACOMBS PLACE"
"2025-10-10T23:38:21.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.76535426335738","-73.99340454662743","WEST   50 STREET"
"2025-10-10T23:38:03.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.81237834836466","-73.95240115039357","WEST  127 STREET"
"2025-10-10T23:38:01.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.73117028835514","-73.98431541972981","EAST   13 STREET"
"2025-10-10T23:36:47.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.83777787224253","-73.94598995109713","WEST  161 STREET"
"2025-10-10T23:36:42.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.85947200057978","-73.93055754485525","NAGLE AVENUE"
"2025-10-10T23:35:57.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.73838063725943","-73.98346571796726","3 AVENUE"
"2025-10-10T23:35:42.000","Taxi Complaint","Driver Complaint - Passenger","MANHATTAN","40.7515235264882","-73.99394730218468","8 AVENUE"
"2025-10-10T23:35:16.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.82582968713525","-73.95113772268097","WEST  144 STREET"
"2025-10-10T23:34:41.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.7290853380792","-74.00100663928178","BLEECKER STREET"
